cidade,uf,mes,ano,mes_ano,n_usuarios_internet,velocidade_media_mbps,n_dispositivos_conectados,indice_inovacao,investimento_publico_tecnologia,eventos_tecnologicos_realizados,startups_ativas,patentes_registradas
São Paulo,SP,8,2003,2003m08,50354,50.46,85719,0.392,919798.0,5,272,5
Brasília,DF,9,2003,2003m09,49943,66.02,38030,0.626,761961.38,3,107,6
Recife,PE,10,2003,2003m10,49813,33.91,29223,0.065,677525.93,3,123,4
Rio de Janeiro,RJ,11,2003,2003m11,49860,51.05,66896,0.179,892988.35,1,276,5
Fortaleza,CE,12,2003,2003m12,50415,57.16,15769,0.071,307250.78,2,290,5
Rio de Janeiro,RJ,1,2004,2004m01,50086,45.36,28745,0.875,606817.75,6,184,8
Recife,PE,2,2004,2004m02,50215,30.36,94959,0.799,593791.22,6,89,3
Porto Alegre,RS,3,2004,2004m03,50325,31.94,67706,0.267,206191.6,0,105,3
Manaus,AM,4,2004,2004m04,50219,49.48,22273,0.754,474855.22,5,214,9
Salvador,BA,5,2004,2004m05,49881,40.69,48269,0.811,869630.78,1,112,5
Manaus,AM,6,2004,2004m06,49812,21.08,96769,0.851,875273.25,4,93,8
Curitiba,PR,7,2004,2004m07,50229,38.03,21326,0.433,860345.76,1,61,6
Rio de Janeiro,RJ,8,2004,2004m08,49948,,72226,0.969,177859.61,2,162,8
São Paulo,SP,9,2004,2004m09,49696,61.23,80475,0.892,364661.19,3,284,6
Curitiba,PR,10,2004,2004m10,50468,27.74,82142,0.71,721521.4,2,265,4
Porto Alegre,RS,11,2004,2004m11,50012,71.31,78324,0.032,120201.1,2,22,5
Rio de Janeiro,RJ,12,2004,2004m12,49912,82.4,15549,0.737,343691.86,1,84,10
Curitiba,PR,1,2005,2005m01,50607,,21377,0.628,385858.28,4,224,0
Rio de Janeiro,RJ,2,2005,2005m02,49998,40.79,41242,0.946,885923.84,0,238,6
Fortaleza,CE,3,2005,2005m03,49857,64.16,30652,0.454,991945.31,1,258,7
Porto Alegre,RS,4,2005,2005m04,50070,66.26,39456,0.588,473493.83,2,247,5
Brasília,DF,5,2005,2005m05,49502,42.61,26525,0.569,669454.74,8,296,3
Salvador,BA,6,2005,2005m06,50356,43.4,36155,0.024,601787.01,3,131,2
Belo Horizonte,MG,7,2005,2005m07,49730,43.53,31844,0.214,974540.02,5,257,4
Salvador,BA,8,2005,2005m08,50112,37.22,16181,0.182,914842.92,1,296,5
Salvador,BA,9,2005,2005m09,49820,63.67,37670,0.355,532829.63,1,212,4
Curitiba,PR,10,2005,2005m10,49915,52.33,35670,0.276,665631.71,4,239,4
Porto Alegre,RS,11,2005,2005m11,50086,39.12,27327,0.323,118583.83,3,173,1
Rio de Janeiro,RJ,12,2005,2005m12,49641,50.97,48326,0.074,486638.22,0,180,5
Manaus,AM,1,2006,2006m01,49883,44.33,62442,0.153,531905.96,1,251,6
Belo Horizonte,MG,2,2006,2006m02,50116,87.55,31848,0.506,113000.23,1,139,7
Recife,PE,3,2006,2006m03,50007,46.27,38789,0.509,228334.07,2,248,3
Curitiba,PR,4,2006,2006m04,50094,61.1,63572,0.097,588375.9,4,284,1
Belo Horizonte,MG,5,2006,2006m05,50125,56.52,47895,0.606,789998.46,4,144,4
Brasília,DF,6,2006,2006m06,50441,47.74,31396,0.978,915061.66,5,226,3
Fortaleza,CE,7,2006,2006m07,49897,56.6,57515,0.392,177150.04,3,70,2
Porto Alegre,RS,8,2006,2006m08,50399,53.16,55506,0.162,476836.56,3,108,5
Recife,PE,9,2006,2006m09,49836,87.3,67007,0.995,740082.93,5,261,3
Curitiba,PR,10,2006,2006m10,50228,48.54,30604,0.526,770368.31,5,270,4
Salvador,BA,11,2006,2006m11,50018,10.9,54244,0.243,171408.87,2,275,4
São Paulo,SP,12,2006,2006m12,49647,82.84,26595,0.877,416218.94,4,108,3
Curitiba,PR,1,2007,2007m01,50340,42.36,80057,0.126,198142.75,1,257,7
São Paulo,SP,2,2007,2007m02,49895,51.3,95867,0.186,622894.31,4,235,2
Salvador,BA,3,2007,2007m03,50151,41.84,27857,0.757,581542.51,2,248,4
Fortaleza,CE,4,2007,2007m04,50315,41.02,90912,0.911,105025.06,2,231,11
Porto Alegre,RS,5,2007,2007m05,50092,33.22,89628,0.43,445470.85,4,70,3
Rio de Janeiro,RJ,6,2007,2007m06,49750,19.96,91323,0.07,346121.4,4,160,6
Curitiba,PR,7,2007,2007m07,50068,39.24,46940,0.625,832676.64,3,65,5
Manaus,AM,8,2007,2007m08,49664,57.71,70351,0.765,929806.97,2,95,4
Salvador,BA,9,2007,2007m09,50031,25.3,94257,0.526,447023.24,2,169,5
Curitiba,PR,10,2007,2007m10,50098,57.58,86739,0.392,316413.55,2,224,5
Brasília,DF,11,2007,2007m11,50141,84.8,19266,0.678,809962.68,1,102,8
Fortaleza,CE,12,2007,2007m12,49886,54.3,45170,0.472,983263.51,3,169,8
Brasília,DF,1,2008,2008m01,50097,29.16,50247,0.782,388587.8,3,17,8
Belo Horizonte,MG,2,2008,2008m02,50102,56.04,20254,0.006,144704.54,2,217,5
Porto Alegre,RS,3,2008,2008m03,49648,64.36,92906,0.608,753441.83,5,121,5
Belo Horizonte,MG,4,2008,2008m04,49842,,92420,0.846,758470.77,3,129,2
Curitiba,PR,5,2008,2008m05,50324,52.82,21191,0.681,400393.02,3,17,4
Recife,PE,6,2008,2008m06,50207,59.07,38598,0.568,607380.99,4,168,8
Recife,PE,7,2008,2008m07,50049,62.75,30745,0.223,173525.33,2,82,3
Porto Alegre,RS,8,2008,2008m08,49783,59.03,89255,0.551,707066.65,3,93,5
Manaus,AM,9,2008,2008m09,49854,54.78,44593,0.815,739001.29,1,41,4
Fortaleza,CE,10,2008,2008m10,50094,40.42,52536,0.858,283961.94,2,269,6
Manaus,AM,11,2008,2008m11,50372,64.32,34655,0.638,813589.73,5,54,5
Fortaleza,CE,12,2008,2008m12,49955,41.96,10922,0.984,129106.52,2,16,5
Salvador,BA,1,2009,2009m01,49864,89.04,52943,0.119,834340.36,3,28,2
Curitiba,PR,2,2009,2009m02,50265,40.4,74323,0.684,878681.14,8,171,9
Belo Horizonte,MG,3,2009,2009m03,49758,62.04,31050,0.043,154090.5,7,100,4
Recife,PE,4,2009,2009m04,50439,30.84,83993,0.854,895754.41,2,150,4
Brasília,DF,5,2009,2009m05,50044,42.85,27085,0.778,755552.34,2,274,4
Rio de Janeiro,RJ,6,2009,2009m06,50073,41.16,13186,0.815,399603.5,3,59,6
São Paulo,SP,7,2009,2009m07,49724,29.49,59330,0.361,126213.34,5,131,5
Rio de Janeiro,RJ,8,2009,2009m08,50300,41.38,10246,0.214,951399.95,2,274,5
Belo Horizonte,MG,9,2009,2009m09,50130,55.41,42412,0.212,441977.64,2,187,5
Belo Horizonte,MG,10,2009,2009m10,49909,46.29,78347,0.908,688598.2,2,259,3
Fortaleza,CE,11,2009,2009m11,50221,67.89,85840,0.522,321695.88,0,280,2
Manaus,AM,12,2009,2009m12,50285,36.03,70344,0.19,950283.32,6,189,9
Rio de Janeiro,RJ,1,2010,2010m01,50007,60.46,14024,0.079,274487.74,5,292,4
Fortaleza,CE,2,2010,2010m02,50210,41.11,74193,0.417,279669.44,3,132,2
Fortaleza,CE,3,2010,2010m03,50133,66.94,26008,0.136,885510.85,2,270,8
Manaus,AM,4,2010,2010m04,50320,61.75,29331,0.355,179868.85,3,73,4
Brasília,DF,5,2010,2010m05,49920,65.2,44687,0.135,862592.05,4,120,4
Recife,PE,6,2010,2010m06,50049,47.58,16311,0.542,244161.3,2,262,2
Porto Alegre,RS,7,2010,2010m07,49978,69.94,67372,0.065,727443.44,1,113,5
Recife,PE,8,2010,2010m08,49858,25.1,25404,0.061,435505.58,3,242,3
São Paulo,SP,9,2010,2010m09,49303,56.69,53618,0.816,410642.25,3,100,5
Rio de Janeiro,RJ,10,2010,2010m10,50234,52.07,95373,0.084,781037.1,3,135,3
Recife,PE,11,2010,2010m11,49706,62.51,29664,0.969,743439.04,3,247,5
Porto Alegre,RS,12,2010,2010m12,50186,48.86,32236,0.578,421068.62,4,236,4
Salvador,BA,1,2011,2011m01,50079,35.24,82083,0.294,224221.58,3,53,8
Rio de Janeiro,RJ,2,2011,2011m02,49503,33.62,50021,0.272,427231.83,2,253,9
Porto Alegre,RS,3,2011,2011m03,50025,49.82,23545,0.665,680573.35,2,213,7
Fortaleza,CE,4,2011,2011m04,50010,46.1,82092,0.863,101312.92,3,127,6
Belo Horizonte,MG,5,2011,2011m05,50208,62.85,40954,0.521,871926.63,2,36,3
Brasília,DF,6,2011,2011m06,49961,64.31,89091,0.765,954755.29,2,107,5
São Paulo,SP,7,2011,2011m07,50248,50.72,57758,0.936,889643.44,2,78,1
Porto Alegre,RS,8,2011,2011m08,49942,50.39,58463,0.605,682324.48,2,144,5
Recife,PE,9,2011,2011m09,49744,65.97,31499,0.422,511274.34,4,238,4
Belo Horizonte,MG,10,2011,2011m10,50031,46.33,54029,0.111,170359.45,0,180,6
Recife,PE,11,2011,2011m11,50104,46.94,30103,0.691,750358.98,1,185,10
Rio de Janeiro,RJ,12,2011,2011m12,50034,30.16,60160,0.852,456782.98,4,68,3
Porto Alegre,RS,1,2012,2012m01,49949,63.18,66864,0.018,360071.53,2,269,6
Recife,PE,2,2012,2012m02,49907,48.65,85644,0.647,397424.03,3,298,3
Manaus,AM,3,2012,2012m03,49466,67.05,23735,0.068,126328.04,1,110,7
Curitiba,PR,4,2012,2012m04,50270,31.89,57880,0.943,591021.89,1,212,6
Belo Horizonte,MG,5,2012,2012m05,49984,42.63,45404,0.415,786069.23,5,262,5
Salvador,BA,6,2012,2012m06,49995,64.19,33153,0.185,839113.59,2,19,1
Belo Horizonte,MG,7,2012,2012m07,49762,54.89,76200,0.202,842741.64,0,122,5
Recife,PE,8,2012,2012m08,49935,32.25,69674,0.091,165450.47,4,82,4
Recife,PE,9,2012,2012m09,50087,63.84,99908,0.658,938372.62,2,197,5
São Paulo,SP,10,2012,2012m10,49919,30.43,49600,0.879,876391.72,2,185,2
Manaus,AM,11,2012,2012m11,50002,62.42,55117,0.381,201859.45,3,222,1
Salvador,BA,12,2012,2012m12,50103,35.31,31322,0.531,169809.57,3,172,5
Brasília,DF,1,2013,2013m01,49586,68.17,81265,0.259,884261.42,4,259,4
São Paulo,SP,2,2013,2013m02,50456,51.69,14104,0.777,942439.82,1,291,3
Rio de Janeiro,RJ,3,2013,2013m03,49928,55.16,34025,0.649,580579.53,2,245,7
Salvador,BA,4,2013,2013m04,49974,48.78,27719,0.998,495923.34,3,74,4
Porto Alegre,RS,5,2013,2013m05,50461,51.32,23175,0.851,731179.69,3,167,4
Curitiba,PR,6,2013,2013m06,49784,51.24,35298,0.141,731465.46,3,195,2
São Paulo,SP,7,2013,2013m07,49663,60.58,71858,0.844,717513.12,1,250,6
Curitiba,PR,8,2013,2013m08,49650,49.06,39940,0.054,902179.77,3,141,4
Manaus,AM,9,2013,2013m09,49588,71.93,33744,0.149,627779.98,1,128,5
Rio de Janeiro,RJ,10,2013,2013m10,50258,38.96,78553,0.385,319703.1,2,124,3
Rio de Janeiro,RJ,11,2013,2013m11,50226,62.91,32103,0.19,795016.52,1,112,3
Brasília,DF,12,2013,2013m12,49693,58.46,33932,0.285,652737.79,5,212,7
Rio de Janeiro,RJ,1,2014,2014m01,50083,68.5,63540,0.71,706130.73,4,257,4
Recife,PE,2,2014,2014m02,50158,51.81,46323,0.561,598213.79,1,107,5
Belo Horizonte,MG,3,2014,2014m03,49855,54.94,57434,0.399,604746.29,2,255,4
Belo Horizonte,MG,4,2014,2014m04,50170,54.77,70393,0.646,528214.8,4,235,3
Brasília,DF,5,2014,2014m05,49918,31.76,42290,0.0,389048.48,3,45,1
Recife,PE,6,2014,2014m06,49897,55.91,10672,0.879,295884.59,5,281,3
Belo Horizonte,MG,7,2014,2014m07,50274,99.05,81976,0.394,262914.43,2,104,5
Porto Alegre,RS,8,2014,2014m08,50170,74.14,28908,0.489,953255.52,4,169,4
Recife,PE,9,2014,2014m09,49667,38.3,14520,0.117,956396.53,4,263,4
Manaus,AM,10,2014,2014m10,50003,22.99,83697,0.757,932006.8,3,49,9
Fortaleza,CE,11,2014,2014m11,49882,50.78,99332,0.995,913915.31,4,39,4
Curitiba,PR,12,2014,2014m12,49929,66.25,67521,0.766,191478.64,2,126,4
Recife,PE,1,2015,2015m01,50350,49.42,85047,0.14,458389.02,6,213,7
Curitiba,PR,2,2015,2015m02,49882,78.34,76496,0.93,912065.57,2,260,5
Porto Alegre,RS,3,2015,2015m03,50511,38.3,27474,0.584,299164.96,3,30,1
Fortaleza,CE,4,2015,2015m04,50085,53.37,72245,0.866,925094.26,2,95,6
Salvador,BA,5,2015,2015m05,49863,,45069,0.422,976808.86,1,117,9
Brasília,DF,6,2015,2015m06,50112,60.97,60664,0.279,935953.37,3,150,7
Recife,PE,7,2015,2015m07,50204,62.0,95838,0.021,552945.96,3,45,10
Brasília,DF,8,2015,2015m08,49643,67.83,68936,0.949,654950.8,6,14,2
Rio de Janeiro,RJ,9,2015,2015m09,49534,48.14,56000,0.154,928941.56,1,30,9
Curitiba,PR,10,2015,2015m10,49963,68.87,25100,0.782,714301.9,5,181,3
Curitiba,PR,11,2015,2015m11,49904,55.17,73855,0.278,955337.76,6,96,3
Rio de Janeiro,RJ,12,2015,2015m12,49728,70.4,26641,0.571,603929.4,3,116,5
Salvador,BA,1,2016,2016m01,50076,72.49,37977,0.826,664568.75,3,40,4
São Paulo,SP,2,2016,2016m02,49626,50.27,52804,0.35,455504.49,2,163,4
Manaus,AM,3,2016,2016m03,49593,39.89,38532,0.432,321664.55,2,37,5
Recife,PE,4,2016,2016m04,50136,53.06,56599,0.144,115698.63,1,265,5
Curitiba,PR,5,2016,2016m05,49628,64.86,21002,0.421,335095.28,3,84,3
Manaus,AM,6,2016,2016m06,49919,27.42,14670,0.826,427271.19,4,238,2
Curitiba,PR,7,2016,2016m07,49921,42.58,64404,0.88,726668.51,3,218,7
São Paulo,SP,8,2016,2016m08,50192,60.24,31835,0.634,483318.12,3,227,3
Rio de Janeiro,RJ,9,2016,2016m09,49952,11.18,53677,0.468,272711.06,1,68,4
São Paulo,SP,10,2016,2016m10,49682,34.49,53461,0.207,369614.02,4,32,3
Curitiba,PR,11,2016,2016m11,49528,40.8,83024,0.455,418664.91,3,186,5
Rio de Janeiro,RJ,12,2016,2016m12,49692,48.75,83599,0.807,365892.54,1,166,2
São Paulo,SP,1,2017,2017m01,50167,45.17,30115,0.31,190731.93,2,265,5
Salvador,BA,2,2017,2017m02,50604,45.46,52377,0.801,364377.63,0,72,9
Rio de Janeiro,RJ,3,2017,2017m03,49857,30.03,99961,0.004,422040.68,2,95,6
Recife,PE,4,2017,2017m04,50017,76.55,35120,0.348,911821.12,3,163,2
Curitiba,PR,5,2017,2017m05,49597,40.88,35197,0.99,179098.91,5,188,4
Porto Alegre,RS,6,2017,2017m06,50083,21.45,91117,0.911,109869.49,3,261,4
Brasília,DF,7,2017,2017m07,49971,67.03,12691,0.647,750837.96,1,192,3
Curitiba,PR,8,2017,2017m08,50053,38.37,88479,0.492,405038.29,4,244,3
Recife,PE,9,2017,2017m09,49462,31.82,51453,0.709,876826.17,3,137,7
Belo Horizonte,MG,10,2017,2017m10,49972,60.17,18155,0.981,335147.77,3,226,3
Manaus,AM,11,2017,2017m11,49851,42.22,56973,0.03,374004.68,4,71,4
Manaus,AM,12,2017,2017m12,49977,52.53,15093,0.276,898399.89,2,101,4
Brasília,DF,1,2018,2018m01,50053,40.5,19371,0.995,522299.83,1,237,3
Curitiba,PR,2,2018,2018m02,50131,43.06,81188,0.604,103508.04,3,121,11
Brasília,DF,3,2018,2018m03,49875,35.11,95950,0.731,334411.06,3,215,5
Fortaleza,CE,4,2018,2018m04,50121,31.79,17942,0.754,762678.99,3,133,5
Curitiba,PR,5,2018,2018m05,50362,102.07,36709,0.395,713245.52,5,67,4
Rio de Janeiro,RJ,6,2018,2018m06,50506,37.58,70114,0.941,975235.39,4,62,3
Rio de Janeiro,RJ,7,2018,2018m07,50072,,25342,0.164,960045.3,4,72,4
Fortaleza,CE,8,2018,2018m08,50425,66.96,30630,0.811,827137.03,2,221,6
Salvador,BA,9,2018,2018m09,49460,54.0,45907,0.552,798234.56,4,259,5
Fortaleza,CE,10,2018,2018m10,49921,50.26,66202,0.288,486619.86,3,268,3
Fortaleza,CE,11,2018,2018m11,50060,42.68,73635,0.479,216965.35,0,13,3
Brasília,DF,12,2018,2018m12,50250,43.9,23366,0.533,914076.0,3,218,2
São Paulo,SP,1,2019,2019m01,49946,45.54,55590,0.364,843675.33,4,297,5
Rio de Janeiro,RJ,2,2019,2019m02,50263,67.05,40956,0.305,615610.13,1,181,6
São Paulo,SP,3,2019,2019m03,49969,46.27,92819,0.444,960182.12,4,88,6
Fortaleza,CE,4,2019,2019m04,50534,67.16,93597,0.837,938425.33,2,266,2
Salvador,BA,5,2019,2019m05,49813,49.2,11998,0.712,677342.4,4,71,7
Rio de Janeiro,RJ,6,2019,2019m06,50076,46.92,70946,0.081,459638.43,8,200,5
Curitiba,PR,7,2019,2019m07,49686,34.68,63786,0.766,803632.58,3,254,5
Curitiba,PR,8,2019,2019m08,50013,,67232,0.928,765708.68,3,276,3
Curitiba,PR,9,2019,2019m09,50013,50.22,20906,0.958,762085.77,2,250,6
Recife,PE,10,2019,2019m10,50033,49.98,71993,0.406,378778.03,4,11,9
Brasília,DF,11,2019,2019m11,50299,77.88,77471,0.917,606348.89,2,40,4
Belo Horizonte,MG,12,2019,2019m12,49716,56.25,11623,0.168,282425.71,4,117,7
Fortaleza,CE,1,2020,2020m01,50174,57.91,86108,0.4,924787.59,3,195,6
Belo Horizonte,MG,2,2020,2020m02,50135,50.9,45041,0.507,522705.46,1,248,4
Porto Alegre,RS,3,2020,2020m03,49719,38.39,91399,0.183,965618.4,5,271,4
Brasília,DF,4,2020,2020m04,49903,68.25,88213,0.688,922410.51,0,137,7
Curitiba,PR,5,2020,2020m05,49931,28.75,64369,0.411,855343.01,2,99,3
Rio de Janeiro,RJ,6,2020,2020m06,50347,35.35,60044,0.128,624542.99,3,221,3
Brasília,DF,7,2020,2020m07,50009,38.34,12745,0.527,722777.12,7,241,4
Recife,PE,8,2020,2020m08,49934,53.77,77236,0.287,652783.07,5,262,3
Rio de Janeiro,RJ,9,2020,2020m09,49733,49.76,60325,0.941,170939.88,4,236,3
São Paulo,SP,10,2020,2020m10,49995,22.06,42149,0.826,644045.03,3,232,11
Recife,PE,11,2020,2020m11,49974,84.76,59837,0.818,255028.56,2,204,4
São Paulo,SP,12,2020,2020m12,49995,61.4,54985,0.643,698709.25,5,30,0
Rio de Janeiro,RJ,1,2021,2021m01,50086,42.64,45708,0.097,765878.12,3,44,3
Curitiba,PR,2,2021,2021m02,49603,56.5,88139,0.446,652955.81,5,150,4
Belo Horizonte,MG,3,2021,2021m03,49708,56.7,61974,0.648,983859.21,5,127,5
Fortaleza,CE,4,2021,2021m04,49722,45.05,18414,0.199,318836.64,1,174,1
Brasília,DF,5,2021,2021m05,49771,55.91,15235,0.402,700309.5,3,274,3
Brasília,DF,6,2021,2021m06,50333,56.08,56450,0.482,430853.52,2,147,3
Curitiba,PR,7,2021,2021m07,50109,66.37,85154,0.834,353076.75,1,103,3
Fortaleza,CE,8,2021,2021m08,49781,51.04,85162,0.381,472550.43,4,162,7
São Paulo,SP,9,2021,2021m09,49757,54.82,31667,0.349,996284.94,1,141,12
Belo Horizonte,MG,10,2021,2021m10,49766,46.87,71456,0.726,703198.5,4,114,7
Fortaleza,CE,11,2021,2021m11,49697,,48540,0.34,687848.63,4,45,2
São Paulo,SP,12,2021,2021m12,49794,38.46,93997,0.099,492032.91,3,70,4
Fortaleza,CE,1,2022,2022m01,50002,37.94,21593,0.786,446909.79,6,234,4
Porto Alegre,RS,2,2022,2022m02,50082,43.03,83006,0.369,518225.71,1,266,5
Brasília,DF,3,2022,2022m03,50294,46.46,58038,0.987,707666.2,1,155,7
Porto Alegre,RS,4,2022,2022m04,49550,65.09,57585,0.507,353586.97,5,223,5
Fortaleza,CE,5,2022,2022m05,50218,44.31,75084,0.064,383136.55,2,90,5
Recife,PE,6,2022,2022m06,49773,45.01,73317,0.763,858732.23,3,99,3
Brasília,DF,7,2022,2022m07,49917,45.61,24109,0.378,806494.98,3,282,4
Belo Horizonte,MG,8,2022,2022m08,50076,49.28,19090,0.123,833807.3,2,176,2
Curitiba,PR,9,2022,2022m09,49976,75.47,90249,0.557,830925.71,4,186,4
Porto Alegre,RS,10,2022,2022m10,49383,44.31,87018,0.249,451406.86,5,50,1
Curitiba,PR,11,2022,2022m11,50142,58.42,18109,0.939,554844.49,2,94,4
São Paulo,SP,12,2022,2022m12,50007,55.25,38874,0.701,122498.82,1,226,8
Manaus,AM,1,2023,2023m01,49675,50.93,50549,0.415,620903.39,5,64,4
Recife,PE,2,2023,2023m02,50020,35.63,51555,0.77,247083.83,4,29,10
São Paulo,SP,3,2023,2023m03,49845,57.85,68075,0.464,427248.93,7,33,6
Salvador,BA,4,2023,2023m04,49798,21.12,27553,0.921,881092.77,3,244,5
São Paulo,SP,5,2023,2023m05,49695,34.69,15342,0.712,427985.07,3,217,7
São Paulo,SP,6,2023,2023m06,50059,41.88,45756,0.979,533855.44,6,45,5
Manaus,AM,7,2023,2023m07,50202,46.63,34845,0.339,387073.29,1,77,4
Brasília,DF,8,2023,2023m08,49633,51.26,71684,0.829,835107.51,3,84,10
Recife,PE,9,2023,2023m09,50055,70.87,82391,0.282,325248.0,5,231,1
Recife,PE,10,2023,2023m10,49957,59.45,44649,0.339,104573.63,1,276,6
Belo Horizonte,MG,11,2023,2023m11,49856,,26252,0.242,244223.15,2,51,6
São Paulo,SP,12,2023,2023m12,50094,44.96,10453,0.837,946112.9,2,180,8
Recife,PE,1,2024,2024m01,50067,45.12,52194,0.9,329465.14,4,85,7
Rio de Janeiro,RJ,2,2024,2024m02,49665,32.98,22802,0.197,274915.69,6,215,9
Belo Horizonte,MG,3,2024,2024m03,49827,18.39,22353,0.865,512956.0,6,216,6
Rio de Janeiro,RJ,4,2024,2024m04,49775,30.87,48000,0.965,321164.72,2,198,6
Manaus,AM,5,2024,2024m05,49762,67.56,75036,0.531,453485.38,5,216,10
Rio de Janeiro,RJ,6,2024,2024m06,49615,39.32,35081,0.243,260413.09,3,260,10
Curitiba,PR,7,2024,2024m07,49943,42.13,98186,0.931,889423.79,2,17,5
Fortaleza,CE,8,2024,2024m08,49683,65.32,44061,0.924,250164.55,5,161,6
Rio de Janeiro,RJ,9,2024,2024m09,50228,10.37,77676,0.132,234865.82,0,240,8
Manaus,AM,10,2024,2024m10,49759,41.21,28907,0.958,806679.13,2,106,3
Curitiba,PR,11,2024,2024m11,50414,33.53,10020,0.303,706204.59,3,111,4
Manaus,AM,12,2024,2024m12,50045,54.4,18905,0.442,506270.74,0,42,4
Manaus,AM,1,2000,2000m01,50185,58.35,70486,0.554,477622.25,2,168,8
São Paulo,SP,2,2000,2000m02,49885,58.6,17993,0.33,266774.98,0,162,3
Manaus,AM,3,2000,2000m03,50005,72.62,36507,0.065,846839.53,1,214,5
Rio de Janeiro,RJ,4,2000,2000m04,49688,58.31,59454,0.717,725171.29,5,61,4
Fortaleza,CE,5,2000,2000m05,49860,53.73,95714,0.77,642487.93,0,140,3
Manaus,AM,6,2000,2000m06,49741,86.5,33402,0.531,273849.7,1,62,6
Manaus,AM,7,2000,2000m07,50020,18.08,92138,0.43,796996.19,4,133,3
Recife,PE,8,2000,2000m08,49894,83.01,19196,0.727,482480.28,5,109,6
Salvador,BA,9,2000,2000m09,49884,76.13,51488,0.994,782961.88,3,228,5
